ticker,sector,subsector,has_yfinance_data
AADI,Energi,"Minyak, Gas & Batu Bara",True
AALI,Barang Konsumen Primer,Makanan & Minuman,True
ABBA,Barang Konsumen Non-Primer,Media & Hiburan,True
ABDA,Keuangan,Asuransi,True
ABMM,Energi,"Minyak, Gas & Batu Bara",True
ACES,Barang Konsumen Non-Primer,Perdagangan Ritel,True
ACRO,Barang Konsumen Non-Primer,Pakaian & Barang Mewah,True
ACST,Infrastruktur,Konstruksi Bangunan,True
ADCP,Properti & Real Estat,Properti & Real Estat,True
ADES,Barang Konsumen Primer,Makanan & Minuman,True
ADHI,Infrastruktur,Konstruksi Bangunan,True
ADMF,Keuangan,Jasa Pembiayaan,True
ADMG,Barang Baku,Barang Baku,True
ADMR,Energi,"Minyak, Gas & Batu Bara",True
ADRO,Energi,"Minyak, Gas & Batu Bara",True
AEGS,Barang Konsumen Non-Primer,Otomotif & Komponen Otomotif,True
AGAR,Barang Konsumen Primer,Makanan & Minuman,True
AGII,Barang Baku,Barang Baku,True
AGRO,Keuangan,Bank,True
AGRS,Keuangan,Bank,True
AHAP,Keuangan,Asuransi,True
AIMS,Energi,"Minyak, Gas & Batu Bara",True
AISA,Barang Konsumen Primer,Makanan & Minuman,True
AKKU,Barang Konsumen Non-Primer,Jasa Konsumen,True
AKPI,Barang Baku,Barang Baku,True
AKRA,Energi,"Minyak, Gas & Batu Bara",True
AKSI,Transportasi & Logistik,Logistik & Pengantaran,True
ALDO,Barang Baku,Barang Baku,True
ALII,Energi,"Minyak, Gas & Batu Bara",True
ALKA,Barang Baku,Barang Baku,True
ALMI,Barang Baku,Barang Baku,True
ALTO,Barang Konsumen Primer,Makanan & Minuman,True
AMAG,Keuangan,Asuransi,True
AMAN,Properti & Real Estat,Properti & Real Estat,True
AMAR,Keuangan,Bank,True
AMFG,Perindustrian,Barang Perindustrian,True
AMIN,Perindustrian,Barang Perindustrian,True
AMMN,Barang Baku,Barang Baku,True
AMMS,Barang Konsumen Primer,Makanan & Minuman,True
AMOR,Keuangan,Jasa Investasi,True
AMRT,Barang Konsumen Primer,Perdagangan Ritel Barang Primer,True
ANDI,Barang Konsumen Primer,Makanan & Minuman,True
ANJT,Barang Konsumen Primer,Makanan & Minuman,True
ANTM,Barang Baku,Barang Baku,True
APEX,Energi,"Minyak, Gas & Batu Bara",True
APIC,Keuangan,Perusahaan Holding & Investasi,True
APII,Perindustrian,Barang Perindustrian,True
APLI,Barang Baku,Barang Baku,True
APLN,Properti & Real Estat,Properti & Real Estat,True
ARCI,Barang Baku,Barang Baku,True
AREA,Teknologi,Perangkat Lunak & Jasa TI,True
ARGO,Barang Konsumen Non-Primer,Pakaian & Barang Mewah,True
ARII,Energi,"Minyak, Gas & Batu Bara",True
ARKA,Perindustrian,Barang Perindustrian,True
ARKO,Infrastruktur,Utilitas,True
ARMY,Properti & Real Estat,Properti & Real Estat,True
ARNA,Perindustrian,Barang Perindustrian,True
ARTA,Barang Konsumen Non-Primer,Jasa Konsumen,True
ARTI,Energi,"Minyak, Gas & Batu Bara",True
ARTO,Keuangan,Bank,True
ASBI,Keuangan,Asuransi,True
ASDM,Keuangan,Asuransi,True
ASGR,Perindustrian,Jasa Perindustrian,True
ASHA,Barang Konsumen Primer,Makanan & Minuman,True
ASII,Perindustrian,Perusahaan Holding Multi Sektor,True
ASJT,Keuangan,Asuransi,True
ASLC,Barang Konsumen Non-Primer,Perdagangan Ritel,True
ASLI,Infrastruktur,Konstruksi Bangunan,True
ASMI,Keuangan,Asuransi,True
ASPI,Properti & Real Estat,Properti & Real Estat,True
ASPR,Barang Baku,Barang Baku,True
ASRI,Properti & Real Estat,Properti & Real Estat,True
ASRM,Keuangan,Asuransi,True
ASSA,Transportasi & Logistik,Transportasi,True
ATAP,Properti & Real Estat,Properti & Real Estat,True
ATIC,Teknologi,Perangkat Lunak & Jasa TI,True
ATLA,Energi,"Minyak, Gas & Batu Bara",True
AUTO,Barang Konsumen Non-Primer,Otomotif & Komponen Otomotif,True
AVIA,Barang Baku,Barang Baku,True
AWAN,Teknologi,Perangkat Lunak & Jasa TI,True
AXIO,Teknologi,Perangkat Keras & Peralatan Teknologi,True
AYAM,Barang Konsumen Primer,Makanan & Minuman,True
AYLS,Barang Baku,Barang Baku,True
BABP,Keuangan,Bank,True
BABY,Barang Konsumen Non-Primer,Perdagangan Ritel,True
BACA,Keuangan,Bank,True
BAIK,Barang Konsumen Non-Primer,Jasa Konsumen,True
BAJA,Barang Baku,Barang Baku,True
BALI,Infrastruktur,Telekomunikasi,True
BANK,Keuangan,Bank,True
BAPA,Properti & Real Estat,Properti & Real Estat,True
BAPI,Properti & Real Estat,Properti & Real Estat,True
BATA,Barang Konsumen Non-Primer,Pakaian & Barang Mewah,True
BATR,Barang Baku,Barang Baku,True
BAUT,Barang Konsumen Non-Primer,Perdagangan Ritel,True
BAYU,Barang Konsumen Non-Primer,Jasa Konsumen,True
BBCA,Keuangan,Bank,True
BBHI,Keuangan,Bank,True
BBKP,Keuangan,Bank,True
BBLD,Keuangan,Jasa Pembiayaan,True
BBMD,Keuangan,Bank,True
BBNI,Keuangan,Bank,True
BBRI,Keuangan,Bank,True
BBRM,Energi,"Minyak, Gas & Batu Bara",True
BBSI,Keuangan,Bank,True
BBSS,Properti & Real Estat,Properti & Real Estat,True
BBTN,Keuangan,Bank,True
BBYB,Keuangan,Bank,True
BCAP,Keuangan,Perusahaan Holding & Investasi,True
BCIC,Keuangan,Bank,True
BCIP,Properti & Real Estat,Properti & Real Estat,True
BDKR,Infrastruktur,Konstruksi Bangunan,True
BDMN,Keuangan,Bank,True
BEBS,Barang Baku,Barang Baku,True
BEEF,Barang Konsumen Primer,Makanan & Minuman,True
BEER,Barang Konsumen Primer,Makanan & Minuman,True
BEKS,Keuangan,Bank,True
BELI,Teknologi,Perangkat Lunak & Jasa TI,True
BELL,Barang Konsumen Non-Primer,Pakaian & Barang Mewah,True
BESS,Energi,"Minyak, Gas & Batu Bara",True
BEST,Properti & Real Estat,Properti & Real Estat,True
BFIN,Keuangan,Jasa Pembiayaan,True
BGTG,Keuangan,Bank,True
BHAT,Keuangan,Asuransi,True
BHIT,Perindustrian,Perusahaan Holding Multi Sektor,True
BIKA,Properti & Real Estat,Properti & Real Estat,True
BIKE,Barang Konsumen Non-Primer,Barang Rekreasi,True
BIMA,Barang Konsumen Non-Primer,Pakaian & Barang Mewah,True
BINA,Keuangan,Bank,True
